tier,like_drink,frequency_day,often_drink,frequency_day_o,mark,money,timestamp_unix,like_drink_f,often_drink_f
1 курс,Вискарик),7,Колу смешиваю,7,3.5,,1759337394.0,виски,кола
6 курс,водка,5,"вода и водка, примерно 50/50",5,3.8,80000.0,1759337526.0,водка,вода
2 курс,Молочный коктейль Топтыжка,1,Воду,3,3.8,,1759337658.0,молочный коктейль,вода
5 курс,Яблочный сок,0,Вода,6,3.94,100000.0,1759340643.0,сок,вода
2 курс,Сок - любой,0,чай - черный,5,4.0,,1759336750.0,сок,чёрный чай
2 курс,кофе - капучино,4,зеленый чай с клубникой и ароматом белого персика,6,4.0,,1759336783.0,кофе капучино,зелёный чай
2 курс,Капучино,3,Воду,5,4.0,,1759338811.0,кофе капучино,вода
2 курс,Молочный коктейль,0,Чай зеленый,2,4.0,,1759339393.0,молочный коктейль,зелёный чай
5 курс,"Кофе - капучино, чёрный, любой",1,Вода,5,4.0,,1759339907.0,кофе капучино,вода
3 курс,Матча латте,1,Вода,6,4.44,,1759338451.0,кофе матча латте,вода
2 курс,Матча латте,1,Капучино,2,4.45,,1759337083.0,кофе матча латте,кофе капучино
2 курс,Вода,10,Воду,10,4.95,4100.0,1759340229.0,вода,вода
2 курс,Капучино,3,Воду,5,4,,1759338812.0,кофе капучино,вода
2 курс,Молочный коктейль,0,Чай зеленый,2,4,,1759339394.0,молочный коктейль,зелёный чай
5 курс,"Кофе - капучино, чёрный, любой",1,Вода,5,4,,1759339908.0,кофе капучино,вода
3 курс,Матча латте,1,Вода,6,4.44,,1759338452.0,кофе матча латте,вода
2 курс,Латте,0,Вода,9,4.1,,1759338090.0,кофе латте,вода
2 курс,Липтон ,0,Воду ,10,2.07,60000.0,1759337626.0,липтон,вода
2 курс,пиво ,2,воду,5,2.4,,1759337293.0,пиво,вода
2 курс,водка,0,вода,0,2.5,,1759337146.0,водка,вода
3 курс,ром кола,4,водка,10,3.0,100000.0,1759337239.0,ром,водка
2 курс,Кофе (любой) ,2,Кофе/чай,2,3.3,,1759338268.0,кофе американо,чай
2 курс,Фильтр кофе,1,Вода,10,3.9,70000.0,1759337728.0,кофе американо,вода
2 курс,джин тоник,6,вода,6,4.0,70000.0,1759337194.0,джин тоник,вода
2 курс,Зеленый чай (особенно мятный),1,Чай (черный и зелёный),3,4.0,,1759337344.0,зелёный чай,чёрный чай
1 курс,белый русский,5,вода,8,4.0,,1759337555.0,водка,вода
5 курс,кофе - латте,1,воду ,1,4.2,180000.0,1759339221.0,кофе латте,вода
2 курс,Mountain Dew,0,Чай,10,4.2,,1759339412.0,энергетик,чёрный чай
3 курс,кофе самый обычный,4,чай пакетированный с сахаром,7,4.22,,1759337294.0,кофе американо,чёрный чай
3 курс,Апельсиновый сок,0,Чай с молоком (в соотношении 50/50),4,4.23,,1759338917.0,сок,чёрный чай
3 курс,май-тай,3,вода,7,4.3,,1759337647.0,май-тай,вода
5 курс,кофе - латте,1,чай - любой,8,4.4,,1759340246.0,кофе латте,чёрный чай
2 курс,абсент,2,пиво,3,4.5,,1759337028.0,абсент,пиво
3 курс,Чёрный чай,3,Вода,10,4.6,,1759337294.0,чёрный чай,вода
5 курс,капучино,1,чай,3,4.6,300000.0,1759339229.0,кофе капучино,чёрный чай
